Continent,country,Product,Variable,Year,Unit,Quantity
Asia,Afghanistan,Wine,Imports,2019,1000 hl,  1
Asia,Afghanistan,Wine,Production,2019,1000 hl,0
Asia,Afghanistan,Wine,Consumption,2020,1000 hl,  1
Asia,Afghanistan,Wine,Imports,2020,1000 hl,  1
Asia,Afghanistan,Wine,Production,2020,1000 hl,0
Asia,Afghanistan,Wine,Consumption,2021,1000 hl,  1
Asia,Afghanistan,Wine,Imports,2021,1000 hl,  1
Asia,Afghanistan,Wine,Production,2021,1000 hl,0
Asia,Afghanistan,Wine,Consumption,2022,1000 hl,  1
Asia,Afghanistan,Wine,Imports,2022,1000 hl,  1
Asia,Afghanistan,Wine,Production,2022,1000 hl,0
Europe,Albania,Wine,Consumption,1995,1000 hl,  186
Europe,Albania,Wine,Exports,1995,1000 hl,0
Europe,Albania,Wine,Imports,1995,1000 hl,  17
Europe,Albania,Wine,Production,1995,1000 hl,  169
Europe,Albania,Wine,Consumption,1996,1000 hl,  310
Europe,Albania,Wine,Exports,1996,1000 hl,0
Europe,Albania,Wine,Imports,1996,1000 hl,  17
Europe,Albania,Wine,Production,1996,1000 hl,  293
Europe,Albania,Wine,Consumption,1997,1000 hl,  170
Europe,Albania,Wine,Exports,1997,1000 hl,0
Europe,Albania,Wine,Imports,1997,1000 hl,  2
Europe,Albania,Wine,Production,1997,1000 hl,  168
Europe,Albania,Wine,Consumption,1998,1000 hl,  107
Europe,Albania,Wine,Exports,1998,1000 hl,0
Europe,Albania,Wine,Imports,1998,1000 hl,  2
Europe,Albania,Wine,Production,1998,1000 hl,  105
Europe,Albania,Wine,Consumption,1999,1000 hl,  131
Europe,Albania,Wine,Exports,1999,1000 hl,0
Europe,Albania,Wine,Imports,1999,1000 hl,  4
Europe,Albania,Wine,Production,1999,1000 hl,  127
Europe,Albania,Wine,Consumption,2000,1000 hl,  77
Europe,Albania,Wine,Exports,2000,1000 hl,0
Europe,Albania,Wine,Imports,2000,1000 hl,  3
Europe,Albania,Wine,Production,2000,1000 hl,  74
Europe,Albania,Wine,Consumption,2001,1000 hl,  147
Europe,Albania,Wine,Exports,2001,1000 hl,0
Europe,Albania,Wine,Imports,2001,1000 hl,  4
Europe,Albania,Wine,Production,2001,1000 hl,  142
Europe,Albania,Wine,Consumption,2002,1000 hl,  73
Europe,Albania,Wine,Exports,2002,1000 hl,0
Europe,Albania,Wine,Imports,2002,1000 hl,  7
Europe,Albania,Wine,Production,2002,1000 hl,  66
Europe,Albania,Wine,Consumption,2003,1000 hl,  107
Europe,Albania,Wine,Exports,2003,1000 hl,0
Europe,Albania,Wine,Imports,2003,1000 hl,  15
Europe,Albania,Wine,Production,2003,1000 hl,  92
Europe,Albania,Wine,Consumption,2004,1000 hl,  152
Europe,Albania,Wine,Exports,2004,1000 hl,0
Europe,Albania,Wine,Imports,2004,1000 hl,  12
Europe,Albania,Wine,Production,2004,1000 hl,  140
Europe,Albania,Wine,Consumption,2005,1000 hl,  192
Europe,Albania,Wine,Exports,2005,1000 hl,0
Europe,Albania,Wine,Imports,2005,1000 hl,  20
Europe,Albania,Wine,Production,2005,1000 hl,  171
Europe,Albania,Wine,Consumption,2006,1000 hl,  189
Europe,Albania,Wine,Exports,2006,1000 hl,0
Europe,Albania,Wine,Imports,2006,1000 hl,  19
Europe,Albania,Wine,Production,2006,1000 hl,  170
Europe,Albania,Wine,Consumption,2007,1000 hl,  201
Europe,Albania,Wine,Exports,2007,1000 hl,0
Europe,Albania,Wine,Imports,2007,1000 hl,  23
Europe,Albania,Wine,Production,2007,1000 hl,  178
Europe,Albania,Wine,Consumption,2008,1000 hl,  185
Europe,Albania,Wine,Exports,2008,1000 hl,0
Europe,Albania,Wine,Imports,2008,1000 hl,  24
Europe,Albania,Wine,Production,2008,1000 hl,  161
Europe,Albania,Wine,Consumption,2009,1000 hl,  200
Europe,Albania,Wine,Exports,2009,1000 hl,0
Europe,Albania,Wine,Imports,2009,1000 hl,  25
Europe,Albania,Wine,Production,2009,1000 hl,  175
Europe,Albania,Wine,Consumption,2010,1000 hl,  206
Europe,Albania,Wine,Exports,2010,1000 hl,0
Europe,Albania,Wine,Imports,2010,1000 hl,  25
Europe,Albania,Wine,Production,2010,1000 hl,  181
Europe,Albania,Wine,Consumption,2011,1000 hl,  207
Europe,Albania,Wine,Exports,2011,1000 hl,0
Europe,Albania,Wine,Imports,2011,1000 hl,  27
Europe,Albania,Wine,Production,2011,1000 hl,  180
Europe,Albania,Wine,Consumption,2012,1000 hl,  216
Europe,Albania,Wine,Exports,2012,1000 hl,0
Europe,Albania,Wine,Imports,2012,1000 hl,  26
Europe,Albania,Wine,Production,2012,1000 hl,  190
Europe,Albania,Wine,Consumption,2013,1000 hl,  209
Europe,Albania,Wine,Exports,2013,1000 hl,0
Europe,Albania,Wine,Imports,2013,1000 hl,  22
Europe,Albania,Wine,Production,2013,1000 hl,  180
Europe,Albania,Wine,Consumption,2014,1000 hl,  196
Europe,Albania,Wine,Exports,2014,1000 hl,0
Europe,Albania,Wine,Imports,2014,1000 hl,  16
Europe,Albania,Wine,Production,2014,1000 hl,  175
Europe,Albania,Wine,Consumption,2015,1000 hl,  219
Europe,Albania,Wine,Exports,2015,1000 hl,0
Europe,Albania,Wine,Imports,2015,1000 hl,  84
Europe,Albania,Wine,Production,2015,1000 hl,  164
Europe,Albania,Wine,Consumption,2016,1000 hl,  233
Europe,Albania,Wine,Exports,2016,1000 hl,0
Europe,Albania,Wine,Imports,2016,1000 hl,  41
Europe,Albania,Wine,Production,2016,1000 hl,  178
Europe,Albania,Wine,Consumption,2017,1000 hl,  217
Europe,Albania,Wine,Exports,2017,1000 hl,0
Europe,Albania,Wine,Imports,2017,1000 hl,  47
Europe,Albania,Wine,Production,2017,1000 hl,  169
Europe,Albania,Wine,Consumption,2018,1000 hl,  207
Europe,Albania,Wine,Exports,2018,1000 hl,0
Europe,Albania,Wine,Imports,2018,1000 hl,  46
Europe,Albania,Wine,Production,2018,1000 hl,  153
Europe,Albania,Wine,Consumption,2019,1000 hl,  217
Europe,Albania,Wine,Exports,2019,1000 hl,0
Europe,Albania,Wine,Imports,2019,1000 hl,  49
Europe,Albania,Wine,Production,2019,1000 hl,  187
Europe,Albania,Wine,Consumption,2020,1000 hl,  234
Europe,Albania,Wine,Exports,2020,1000 hl,0
Europe,Albania,Wine,Imports,2020,1000 hl,  41
Europe,Albania,Wine,Production,2020,1000 hl,  192
Europe,Albania,Wine,Consumption,2021,1000 hl,  291
Europe,Albania,Wine,Exports,2021,1000 hl,0
Europe,Albania,Wine,Imports,2021,1000 hl,  55
Europe,Albania,Wine,Production,2021,1000 hl,  295
Europe,Albania,Wine,Consumption,2022,1000 hl,  315
Europe,Albania,Wine,Exports,2022,1000 hl,0
Europe,Albania,Wine,Imports,2022,1000 hl,  54
Europe,Albania,Wine,Production,2022,1000 hl,  228
Africa,Algeria,Wine,Consumption,1995,1000 hl,  243
Africa,Algeria,Wine,Exports,1995,1000 hl,  128
Africa,Algeria,Wine,Imports,1995,1000 hl,  1
Africa,Algeria,Wine,Production,1995,1000 hl,  571
Africa,Algeria,Wine,Consumption,1996,1000 hl,  250
Africa,Algeria,Wine,Exports,1996,1000 hl,  195
Africa,Algeria,Wine,Imports,1996,1000 hl,0
Africa,Algeria,Wine,Production,1996,1000 hl,  392
Africa,Algeria,Wine,Consumption,1997,1000 hl,  195
Africa,Algeria,Wine,Exports,1997,1000 hl,  61
Africa,Algeria,Wine,Imports,1997,1000 hl,0
Africa,Algeria,Wine,Production,1997,1000 hl,  357
Africa,Algeria,Wine,Consumption,1998,1000 hl,  200
Africa,Algeria,Wine,Exports,1998,1000 hl,  40
Africa,Algeria,Wine,Imports,1998,1000 hl,0
Africa,Algeria,Wine,Production,1998,1000 hl,  360
Africa,Algeria,Wine,Consumption,1999,1000 hl,  247
Africa,Algeria,Wine,Exports,1999,1000 hl,  26
Africa,Algeria,Wine,Imports,1999,1000 hl,  55
Africa,Algeria,Wine,Production,1999,1000 hl,  422
Africa,Algeria,Wine,Consumption,2000,1000 hl,  225
Africa,Algeria,Wine,Exports,2000,1000 hl,  55
Africa,Algeria,Wine,Imports,2000,1000 hl,  3
Africa,Algeria,Wine,Production,2000,1000 hl,  424
Africa,Algeria,Wine,Consumption,2001,1000 hl,  203
Africa,Algeria,Wine,Exports,2001,1000 hl,  29
Africa,Algeria,Wine,Imports,2001,1000 hl,  8
Africa,Algeria,Wine,Production,2001,1000 hl,  420
Africa,Algeria,Wine,Consumption,2002,1000 hl,  320
Africa,Algeria,Wine,Exports,2002,1000 hl,  40
Africa,Algeria,Wine,Imports,2002,1000 hl,  61
Africa,Algeria,Wine,Production,2002,1000 hl,  700
Africa,Algeria,Wine,Consumption,2003,1000 hl,  220
Africa,Algeria,Wine,Exports,2003,1000 hl,  70
Africa,Algeria,Wine,Imports,2003,1000 hl,  79
Africa,Algeria,Wine,Production,2003,1000 hl,  820
Africa,Algeria,Wine,Consumption,2004,1000 hl,  350
Africa,Algeria,Wine,Exports,2004,1000 hl,  70
Africa,Algeria,Wine,Imports,2004,1000 hl,0
Africa,Algeria,Wine,Production,2004,1000 hl,  850
Africa,Algeria,Wine,Consumption,2005,1000 hl,  350
Africa,Algeria,Wine,Exports,2005,1000 hl,  50
Africa,Algeria,Wine,Imports,2005,1000 hl,  3
Africa,Algeria,Wine,Production,2005,1000 hl,  900
Africa,Algeria,Wine,Consumption,2006,1000 hl,  350
Africa,Algeria,Wine,Exports,2006,1000 hl,  20
Africa,Algeria,Wine,Imports,2006,1000 hl,  9
Africa,Algeria,Wine,Production,2006,1000 hl, 1 050
Africa,Algeria,Wine,Consumption,2007,1000 hl,  304
Africa,Algeria,Wine,Exports,2007,1000 hl,  24
Africa,Algeria,Wine,Imports,2007,1000 hl,  7
Africa,Algeria,Wine,Production,2007,1000 hl,  520
Africa,Algeria,Wine,Consumption,2008,1000 hl,  312
Africa,Algeria,Wine,Exports,2008,1000 hl,  17
Africa,Algeria,Wine,Imports,2008,1000 hl,  29
Africa,Algeria,Wine,Production,2008,1000 hl,  500
Africa,Algeria,Wine,Consumption,2009,1000 hl,  406
Africa,Algeria,Wine,Exports,2009,1000 hl,  7
Africa,Algeria,Wine,Imports,2009,1000 hl,  25
Africa,Algeria,Wine,Production,2009,1000 hl,  588
Africa,Algeria,Wine,Consumption,2010,1000 hl,  280
Africa,Algeria,Wine,Exports,2010,1000 hl,  12
Africa,Algeria,Wine,Imports,2010,1000 hl,  17
Africa,Algeria,Wine,Production,2010,1000 hl,  475
Africa,Algeria,Wine,Consumption,2011,1000 hl,  288
Africa,Algeria,Wine,Exports,2011,1000 hl,  8
Africa,Algeria,Wine,Imports,2011,1000 hl,  24
Africa,Algeria,Wine,Production,2011,1000 hl,  480
Africa,Algeria,Wine,Consumption,2012,1000 hl,  311
Africa,Algeria,Wine,Exports,2012,1000 hl,  4
Africa,Algeria,Wine,Imports,2012,1000 hl,  38
Africa,Algeria,Wine,Production,2012,1000 hl,  492
Africa,Algeria,Wine,Consumption,2013,1000 hl,  338
Africa,Algeria,Wine,Exports,2013,1000 hl,  2
Africa,Algeria,Wine,Imports,2013,1000 hl,  56
Africa,Algeria,Wine,Production,2013,1000 hl,  498
Africa,Algeria,Wine,Consumption,2014,1000 hl,  372
Africa,Algeria,Wine,Exports,2014,1000 hl,  3
Africa,Algeria,Wine,Imports,2014,1000 hl,  75
Africa,Algeria,Wine,Production,2014,1000 hl,  126
Africa,Algeria,Wine,Consumption,2015,1000 hl,  189
Africa,Algeria,Wine,Exports,2015,1000 hl,  2
Africa,Algeria,Wine,Imports,2015,1000 hl,  85
Africa,Algeria,Wine,Production,2015,1000 hl,  96
Africa,Algeria,Wine,Consumption,2016,1000 hl,  178
Africa,Algeria,Wine,Exports,2016,1000 hl,  2
Africa,Algeria,Wine,Imports,2016,1000 hl,  113
Africa,Algeria,Wine,Production,2016,1000 hl,  66
Africa,Algeria,Wine,Consumption,2017,1000 hl,  245
Africa,Algeria,Wine,Exports,2017,1000 hl,  3
Africa,Algeria,Wine,Imports,2017,1000 hl,  90
Africa,Algeria,Wine,Production,2017,1000 hl,  227
Africa,Algeria,Wine,Consumption,2018,1000 hl,  300
Africa,Algeria,Wine,Exports,2018,1000 hl,  2
Africa,Algeria,Wine,Imports,2018,1000 hl,  94
Africa,Algeria,Wine,Production,2018,1000 hl,  193
Africa,Algeria,Wine,Consumption,2019,1000 hl,  268
Africa,Algeria,Wine,Exports,2019,1000 hl,  1
Africa,Algeria,Wine,Imports,2019,1000 hl,  58
Africa,Algeria,Wine,Production,2019,1000 hl,  193
Africa,Algeria,Wine,Consumption,2020,1000 hl,  263
Africa,Algeria,Wine,Exports,2020,1000 hl,  1
Africa,Algeria,Wine,Imports,2020,1000 hl,  85
Africa,Algeria,Wine,Production,2020,1000 hl,  193
Africa,Algeria,Wine,Consumption,2021,1000 hl,  289
Africa,Algeria,Wine,Exports,2021,1000 hl,  1
Africa,Algeria,Wine,Imports,2021,1000 hl,  109
Africa,Algeria,Wine,Production,2021,1000 hl,  193
Africa,Algeria,Wine,Consumption,2022,1000 hl,  289
Africa,Algeria,Wine,Exports,2022,1000 hl,  1
Africa,Algeria,Wine,Imports,2022,1000 hl,  87
Africa,Algeria,Wine,Production,2022,1000 hl,  193
Oceania,American Samoa,Wine,Consumption,1995,1000 hl,0
Oceania,American Samoa,Wine,Imports,1995,1000 hl,0
Oceania,American Samoa,Wine,Production,1995,1000 hl,0
Oceania,American Samoa,Wine,Consumption,1996,1000 hl,0
Oceania,American Samoa,Wine,Imports,1996,1000 hl,0
Oceania,American Samoa,Wine,Production,1996,1000 hl,0
Oceania,American Samoa,Wine,Consumption,1997,1000 hl,0
Oceania,American Samoa,Wine,Imports,1997,1000 hl,0
Oceania,American Samoa,Wine,Production,1997,1000 hl,0
Oceania,American Samoa,Wine,Consumption,1998,1000 hl,0
Oceania,American Samoa,Wine,Imports,1998,1000 hl,0
Oceania,American Samoa,Wine,Production,1998,1000 hl,0
Oceania,American Samoa,Wine,Consumption,1999,1000 hl,0
Oceania,American Samoa,Wine,Imports,1999,1000 hl,0
Oceania,American Samoa,Wine,Production,1999,1000 hl,0
Oceania,American Samoa,Wine,Consumption,2000,1000 hl,0
Oceania,American Samoa,Wine,Imports,2000,1000 hl,0
Oceania,American Samoa,Wine,Production,2000,1000 hl,0
Oceania,American Samoa,Wine,Consumption,2001,1000 hl,0
Oceania,American Samoa,Wine,Imports,2001,1000 hl,0
Oceania,American Samoa,Wine,Production,2001,1000 hl,0
Oceania,American Samoa,Wine,Consumption,2002,1000 hl,0
Oceania,American Samoa,Wine,Imports,2002,1000 hl,0
Oceania,American Samoa,Wine,Production,2002,1000 hl,0
Oceania,American Samoa,Wine,Consumption,2003,1000 hl,0
Oceania,American Samoa,Wine,Imports,2003,1000 hl,0
Oceania,American Samoa,Wine,Production,2003,1000 hl,0
Oceania,American Samoa,Wine,Consumption,2004,1000 hl,0
Oceania,American Samoa,Wine,Imports,2004,1000 hl,0
Oceania,American Samoa,Wine,Production,2004,1000 hl,0
Oceania,American Samoa,Wine,Consumption,2005,1000 hl,0
Oceania,American Samoa,Wine,Imports,2005,1000 hl,0
Oceania,American Samoa,Wine,Production,2005,1000 hl,0
Oceania,American Samoa,Wine,Consumption,2006,1000 hl,0
Oceania,American Samoa,Wine,Imports,2006,1000 hl,0
Oceania,American Samoa,Wine,Production,2006,1000 hl,0
Oceania,American Samoa,Wine,Consumption,2007,1000 hl,0
Oceania,American Samoa,Wine,Imports,2007,1000 hl,0
Oceania,American Samoa,Wine,Production,2007,1000 hl,0
Oceania,American Samoa,Wine,Consumption,2008,1000 hl,0
Oceania,American Samoa,Wine,Imports,2008,1000 hl,0
Oceania,American Samoa,Wine,Production,2008,1000 hl,0
Oceania,American Samoa,Wine,Consumption,2009,1000 hl,0
Oceania,American Samoa,Wine,Imports,2009,1000 hl,0
Oceania,American Samoa,Wine,Production,2009,1000 hl,0
Oceania,American Samoa,Wine,Consumption,2010,1000 hl,  1
Oceania,American Samoa,Wine,Imports,2010,1000 hl,  1
Oceania,American Samoa,Wine,Production,2010,1000 hl,0
Oceania,American Samoa,Wine,Consumption,2011,1000 hl,0
Oceania,American Samoa,Wine,Imports,2011,1000 hl,0
Oceania,American Samoa,Wine,Production,2011,1000 hl,0
Oceania,American Samoa,Wine,Consumption,2012,1000 hl,0
Oceania,American Samoa,Wine,Imports,2012,1000 hl,0
Oceania,American Samoa,Wine,Production,2012,1000 hl,0
Oceania,American Samoa,Wine,Consumption,2013,1000 hl,0
Oceania,American Samoa,Wine,Imports,2013,1000 hl,0
Oceania,American Samoa,Wine,Production,2013,1000 hl,0
Oceania,American Samoa,Wine,Consumption,2014,1000 hl,0
Oceania,American Samoa,Wine,Imports,2014,1000 hl,0
Oceania,American Samoa,Wine,Production,2014,1000 hl,0
Oceania,American Samoa,Wine,Consumption,2015,1000 hl,0
Oceania,American Samoa,Wine,Imports,2015,1000 hl,0
Oceania,American Samoa,Wine,Production,2015,1000 hl,0
Oceania,American Samoa,Wine,Consumption,2016,1000 hl,0
Oceania,American Samoa,Wine,Imports,2016,1000 hl,0
Oceania,American Samoa,Wine,Production,2016,1000 hl,0
Oceania,American Samoa,Wine,Consumption,2017,1000 hl,0
Oceania,American Samoa,Wine,Imports,2017,1000 hl,0
Oceania,American Samoa,Wine,Production,2017,1000 hl,0
Oceania,American Samoa,Wine,Consumption,2018,1000 hl,0
Oceania,American Samoa,Wine,Imports,2018,1000 hl,0
Oceania,American Samoa,Wine,Production,2018,1000 hl,0
Oceania,American Samoa,Wine,Consumption,2019,1000 hl,0
Oceania,American Samoa,Wine,Imports,2019,1000 hl,0
Oceania,American Samoa,Wine,Production,2019,1000 hl,0
Oceania,American Samoa,Wine,Consumption,2020,1000 hl,  1
Oceania,American Samoa,Wine,Imports,2020,1000 hl,  1
Oceania,American Samoa,Wine,Production,2020,1000 hl,0
Oceania,American Samoa,Wine,Consumption,2021,1000 hl,  1
Oceania,American Samoa,Wine,Imports,2021,1000 hl,0
Oceania,American Samoa,Wine,Production,2021,1000 hl,0
Oceania,American Samoa,Wine,Consumption,2022,1000 hl,  1
Oceania,American Samoa,Wine,Imports,2022,1000 hl,0
Oceania,American Samoa,Wine,Production,2022,1000 hl,0
Europe,Andorra,Wine,Production,1995,1000 hl,0
Europe,Andorra,Wine,Production,1996,1000 hl,0
Europe,Andorra,Wine,Production,1997,1000 hl,0
Europe,Andorra,Wine,Production,1998,1000 hl,0
Europe,Andorra,Wine,Production,1999,1000 hl,0
Europe,Andorra,Wine,Production,2000,1000 hl,0
Europe,Andorra,Wine,Production,2001,1000 hl,0
Europe,Andorra,Wine,Production,2002,1000 hl,0
Europe,Andorra,Wine,Production,2003,1000 hl,0
Europe,Andorra,Wine,Production,2004,1000 hl,0
Europe,Andorra,Wine,Production,2005,1000 hl,0
Europe,Andorra,Wine,Production,2006,1000 hl,0
Europe,Andorra,Wine,Production,2007,1000 hl,0
Europe,Andorra,Wine,Production,2008,1000 hl,0
Europe,Andorra,Wine,Production,2009,1000 hl,0
Europe,Andorra,Wine,Production,2010,1000 hl,0
Europe,Andorra,Wine,Production,2011,1000 hl,0
Europe,Andorra,Wine,Production,2012,1000 hl,0
Europe,Andorra,Wine,Production,2013,1000 hl,0
Europe,Andorra,Wine,Production,2014,1000 hl,0
Europe,Andorra,Wine,Production,2015,1000 hl,0
Europe,Andorra,Wine,Production,2016,1000 hl,0
Europe,Andorra,Wine,Production,2017,1000 hl,0
Europe,Andorra,Wine,Production,2018,1000 hl,0
Europe,Andorra,Wine,Production,2019,1000 hl,0
Europe,Andorra,Wine,Production,2020,1000 hl,0
Europe,Andorra,Wine,Production,2021,1000 hl,0
Europe,Andorra,Wine,Production,2022,1000 hl,0
Africa,Angola,Wine,Consumption,1995,1000 hl,  255
Africa,Angola,Wine,Exports,1995,1000 hl,0
Africa,Angola,Wine,Imports,1995,1000 hl,  255
Africa,Angola,Wine,Production,1995,1000 hl,0
Africa,Angola,Wine,Consumption,1996,1000 hl,  270
Africa,Angola,Wine,Exports,1996,1000 hl,0
Africa,Angola,Wine,Imports,1996,1000 hl,  280
Africa,Angola,Wine,Production,1996,1000 hl,0
Africa,Angola,Wine,Consumption,1997,1000 hl,  460
Africa,Angola,Wine,Exports,1997,1000 hl,0
Africa,Angola,Wine,Imports,1997,1000 hl,  458
Africa,Angola,Wine,Production,1997,1000 hl,0
Africa,Angola,Wine,Consumption,1998,1000 hl,  530
Africa,Angola,Wine,Exports,1998,1000 hl,0
Africa,Angola,Wine,Imports,1998,1000 hl,  539
Africa,Angola,Wine,Production,1998,1000 hl,0
Africa,Angola,Wine,Consumption,1999,1000 hl,  236
Africa,Angola,Wine,Exports,1999,1000 hl,0
Africa,Angola,Wine,Imports,1999,1000 hl,  236
Africa,Angola,Wine,Production,1999,1000 hl,0
Africa,Angola,Wine,Consumption,2000,1000 hl,  248
Africa,Angola,Wine,Exports,2000,1000 hl,0
Africa,Angola,Wine,Imports,2000,1000 hl,  258
Africa,Angola,Wine,Production,2000,1000 hl,0
Africa,Angola,Wine,Consumption,2001,1000 hl,  378
Africa,Angola,Wine,Exports,2001,1000 hl,0
Africa,Angola,Wine,Imports,2001,1000 hl,  357
Africa,Angola,Wine,Production,2001,1000 hl,0
Africa,Angola,Wine,Consumption,2002,1000 hl,  398
Africa,Angola,Wine,Exports,2002,1000 hl,0
Africa,Angola,Wine,Imports,2002,1000 hl,  398
Africa,Angola,Wine,Production,2002,1000 hl,0
Africa,Angola,Wine,Consumption,2003,1000 hl,  497
Africa,Angola,Wine,Exports,2003,1000 hl,0
Africa,Angola,Wine,Imports,2003,1000 hl,  499
Africa,Angola,Wine,Production,2003,1000 hl,0
Africa,Angola,Wine,Consumption,2004,1000 hl,  579
Africa,Angola,Wine,Exports,2004,1000 hl,0
Africa,Angola,Wine,Imports,2004,1000 hl,  579
Africa,Angola,Wine,Production,2004,1000 hl,0
Africa,Angola,Wine,Consumption,2005,1000 hl,  782
Africa,Angola,Wine,Exports,2005,1000 hl,0
Africa,Angola,Wine,Imports,2005,1000 hl,  782
Africa,Angola,Wine,Production,2005,1000 hl,0
Africa,Angola,Wine,Consumption,2006,1000 hl,  964
Africa,Angola,Wine,Exports,2006,1000 hl,0
Africa,Angola,Wine,Imports,2006,1000 hl,  970
Africa,Angola,Wine,Production,2006,1000 hl,0
Africa,Angola,Wine,Consumption,2007,1000 hl, 1 027
Africa,Angola,Wine,Exports,2007,1000 hl,0
Africa,Angola,Wine,Imports,2007,1000 hl, 1 028
Africa,Angola,Wine,Production,2007,1000 hl,0
Africa,Angola,Wine,Consumption,2008,1000 hl, 1 160
Africa,Angola,Wine,Exports,2008,1000 hl,0
Africa,Angola,Wine,Imports,2008,1000 hl, 1 160
Africa,Angola,Wine,Production,2008,1000 hl,0
Africa,Angola,Wine,Consumption,2009,1000 hl,  798
Africa,Angola,Wine,Exports,2009,1000 hl,0
Africa,Angola,Wine,Imports,2009,1000 hl,  798
Africa,Angola,Wine,Production,2009,1000 hl,0
Africa,Angola,Wine,Consumption,2010,1000 hl,  868
Africa,Angola,Wine,Exports,2010,1000 hl,0
Africa,Angola,Wine,Imports,2010,1000 hl,  868
