Continent,Region/Country,Product,Variable,Year,Unit,Quantity,Quantity (gallons),Code,Country
America,Antigua and Barbuda,Wine,Imports,2006.0,1000 hl,10.0,264172.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,2006.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,2007.0,1000 hl,9.0,237755.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,2007.0,1000 hl,1.0,26417.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,2007.0,1000 hl,10.0,264172.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,2007.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,2008.0,1000 hl,8.0,211338.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,2008.0,1000 hl,1.0,26417.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,2008.0,1000 hl,8.0,211338.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,2008.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,2009.0,1000 hl,7.0,184920.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,2009.0,1000 hl,1.0,26417.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,2009.0,1000 hl,7.0,184920.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,2009.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,2010.0,1000 hl,6.0,158503.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,2010.0,1000 hl,2.0,52834.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,2010.0,1000 hl,8.0,211338.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,2010.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,2011.0,1000 hl,6.0,158503.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,2011.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,2011.0,1000 hl,8.0,211338.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,2011.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,2012.0,1000 hl,11.0,290589.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,2012.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,2012.0,1000 hl,15.0,396258.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,2012.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,2013.0,1000 hl,17.0,449092.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,2013.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,2013.0,1000 hl,19.0,501927.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,2013.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,2014.0,1000 hl,19.0,501927.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,2014.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,2014.0,1000 hl,19.0,501927.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,2014.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,2015.0,1000 hl,16.0,422675.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,2015.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,2015.0,1000 hl,13.0,343424.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,2015.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,2016.0,1000 hl,21.0,554761.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,2016.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,2016.0,1000 hl,28.0,739682.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,2016.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,2017.0,1000 hl,25.0,660430.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,2017.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,2017.0,1000 hl,23.0,607596.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,2017.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,2018.0,1000 hl,24.0,634013.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,2018.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,2018.0,1000 hl,25.0,660430.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,2018.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,2019.0,1000 hl,20.0,528344.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,2019.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,2019.0,1000 hl,15.0,396258.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,2019.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,2020.0,1000 hl,15.0,396258.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,2020.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,2020.0,1000 hl,15.0,396258.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,2020.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,2021.0,1000 hl,15.0,396258.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,2021.0,1000 hl,1.0,26417.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,2021.0,1000 hl,15.0,396258.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,2021.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Consumption,2022.0,1000 hl,15.0,396258.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Exports,2022.0,1000 hl,1.0,26417.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Imports,2022.0,1000 hl,15.0,396258.0,AC,Antigua and Barbuda
America,Antigua and Barbuda,Wine,Production,2022.0,1000 hl,0.0,0.0,AC,Antigua and Barbuda
Asia,United Arab Emirates,Wine,Exports,1995.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,1995.0,1000 hl,25.0,660430.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,1995.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,1996.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,1996.0,1000 hl,24.0,634013.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,1996.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,1997.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,1997.0,1000 hl,31.0,818933.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,1997.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,1998.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,1998.0,1000 hl,27.0,713264.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,1998.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,1999.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,1999.0,1000 hl,32.0,845350.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,1999.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,2000.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,2000.0,1000 hl,38.0,1003854.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,2000.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,2001.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,2001.0,1000 hl,38.0,1003854.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,2001.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,2002.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,2002.0,1000 hl,53.0,1400112.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,2002.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,2003.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,2003.0,1000 hl,71.0,1875621.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,2003.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,2004.0,1000 hl,1.0,26417.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,2004.0,1000 hl,68.0,1796370.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,2004.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,2005.0,1000 hl,2.0,52834.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,2005.0,1000 hl,69.0,1822787.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,2005.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,2006.0,1000 hl,4.0,105669.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,2006.0,1000 hl,72.0,1902038.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,2006.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,2007.0,1000 hl,7.0,184920.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,2007.0,1000 hl,76.0,2007707.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,2007.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,2008.0,1000 hl,15.0,396258.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,2008.0,1000 hl,126.0,3328567.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,2008.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,2009.0,1000 hl,15.0,396258.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,2009.0,1000 hl,100.0,2641720.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,2009.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,2010.0,1000 hl,15.0,396258.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,2010.0,1000 hl,154.0,4068249.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,2010.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,2011.0,1000 hl,6.0,158503.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,2011.0,1000 hl,155.0,4094666.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,2011.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,2012.0,1000 hl,125.0,3302150.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,2012.0,1000 hl,294.0,7766657.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,2012.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,2013.0,1000 hl,127.0,3354984.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,2013.0,1000 hl,358.0,9457358.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,2013.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,2014.0,1000 hl,141.0,3724825.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,2014.0,1000 hl,541.0,14291705.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,2014.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,2015.0,1000 hl,44.0,1162357.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,2015.0,1000 hl,248.0,6551466.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,2015.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,2016.0,1000 hl,46.0,1215191.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,2016.0,1000 hl,225.0,5943870.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,2016.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,2017.0,1000 hl,53.0,1400112.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,2017.0,1000 hl,513.0,13552024.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,2017.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,2018.0,1000 hl,73.0,1928456.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,2018.0,1000 hl,441.0,11649985.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,2018.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,2019.0,1000 hl,102.0,2694554.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,2019.0,1000 hl,490.0,12944428.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,2019.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,2020.0,1000 hl,207.0,5468360.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,2020.0,1000 hl,303.0,8004412.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,2020.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,2021.0,1000 hl,226.0,5970287.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,2021.0,1000 hl,389.0,10276291.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,2021.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Exports,2022.0,1000 hl,226.0,5970287.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Imports,2022.0,1000 hl,427.0,11280144.0,AE,United Arab Emirates
Asia,United Arab Emirates,Wine,Production,2022.0,1000 hl,0.0,0.0,AE,United Arab Emirates
Asia,Afghanistan,Wine,Consumption,1995.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Imports,1995.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Production,1995.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Consumption,1996.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Imports,1996.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Production,1996.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Consumption,1997.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Imports,1997.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Production,1997.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Consumption,1998.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Imports,1998.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Production,1998.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Consumption,1999.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Imports,1999.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Production,1999.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Consumption,2000.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Imports,2000.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Production,2000.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Consumption,2001.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Imports,2001.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Production,2001.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Consumption,2002.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Imports,2002.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Production,2002.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Consumption,2003.0,1000 hl,1.0,26417.0,AF,Afghanistan
Asia,Afghanistan,Wine,Imports,2003.0,1000 hl,1.0,26417.0,AF,Afghanistan
Asia,Afghanistan,Wine,Production,2003.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Consumption,2004.0,1000 hl,1.0,26417.0,AF,Afghanistan
Asia,Afghanistan,Wine,Imports,2004.0,1000 hl,1.0,26417.0,AF,Afghanistan
Asia,Afghanistan,Wine,Production,2004.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Consumption,2005.0,1000 hl,1.0,26417.0,AF,Afghanistan
Asia,Afghanistan,Wine,Imports,2005.0,1000 hl,1.0,26417.0,AF,Afghanistan
Asia,Afghanistan,Wine,Production,2005.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Consumption,2006.0,1000 hl,9.0,237755.0,AF,Afghanistan
Asia,Afghanistan,Wine,Imports,2006.0,1000 hl,9.0,237755.0,AF,Afghanistan
Asia,Afghanistan,Wine,Production,2006.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Consumption,2007.0,1000 hl,10.0,264172.0,AF,Afghanistan
Asia,Afghanistan,Wine,Imports,2007.0,1000 hl,10.0,264172.0,AF,Afghanistan
Asia,Afghanistan,Wine,Production,2007.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Consumption,2008.0,1000 hl,1.0,26417.0,AF,Afghanistan
Asia,Afghanistan,Wine,Imports,2008.0,1000 hl,1.0,26417.0,AF,Afghanistan
Asia,Afghanistan,Wine,Production,2008.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Consumption,2009.0,1000 hl,3.0,79252.0,AF,Afghanistan
Asia,Afghanistan,Wine,Imports,2009.0,1000 hl,3.0,79252.0,AF,Afghanistan
Asia,Afghanistan,Wine,Production,2009.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Consumption,2010.0,1000 hl,2.0,52834.0,AF,Afghanistan
Asia,Afghanistan,Wine,Imports,2010.0,1000 hl,2.0,52834.0,AF,Afghanistan
Asia,Afghanistan,Wine,Production,2010.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Consumption,2011.0,1000 hl,1.0,26417.0,AF,Afghanistan
Asia,Afghanistan,Wine,Imports,2011.0,1000 hl,1.0,26417.0,AF,Afghanistan
Asia,Afghanistan,Wine,Production,2011.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Consumption,2012.0,1000 hl,1.0,26417.0,AF,Afghanistan
Asia,Afghanistan,Wine,Imports,2012.0,1000 hl,1.0,26417.0,AF,Afghanistan
Asia,Afghanistan,Wine,Production,2012.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Consumption,2013.0,1000 hl,1.0,26417.0,AF,Afghanistan
Asia,Afghanistan,Wine,Imports,2013.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Production,2013.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Consumption,2014.0,1000 hl,1.0,26417.0,AF,Afghanistan
Asia,Afghanistan,Wine,Imports,2014.0,1000 hl,1.0,26417.0,AF,Afghanistan
Asia,Afghanistan,Wine,Production,2014.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Consumption,2015.0,1000 hl,1.0,26417.0,AF,Afghanistan
Asia,Afghanistan,Wine,Imports,2015.0,1000 hl,1.0,26417.0,AF,Afghanistan
Asia,Afghanistan,Wine,Production,2015.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Consumption,2016.0,1000 hl,1.0,26417.0,AF,Afghanistan
Asia,Afghanistan,Wine,Imports,2016.0,1000 hl,1.0,26417.0,AF,Afghanistan
Asia,Afghanistan,Wine,Production,2016.0,1000 hl,0.0,0.0,AF,Afghanistan
Asia,Afghanistan,Wine,Consumption,2017.0,1000 hl,1.0,26417.0,AF,Afghanistan
Asia,Afghanistan,Wine,Imports,2017.0,1000 hl,1.0,26417.0,AF,Afghanistan
Asia,Afghanistan,Wine,Production,2017.0,1000 hl,0.0,0.0,AF,Afghanistan
